epoch,label,precision,recall,f1-score,support
1,CHAR,0.4827586206896552,0.23902439024390243,0.31973898858075034,820
1,LOC,0.5021097046413502,0.5509259259259259,0.5253863134657836,216
1,ORG,0.0,0.0,0.0,2
1,micro avg,0.4779969650986343,0.30346820809248554,0.3712433706540955,1038
1,macro avg,0.32828944177700176,0.26331677205660947,0.2817084340155113,1038
1,weighted avg,0.4858552650944595,0.30346820809248554,0.3619165841472298,1038
2,CHAR,0.44835164835164837,0.24878048780487805,0.32000000000000006,820
2,LOC,0.5019607843137255,0.5925925925925926,0.5435244161358811,216
2,ORG,0.0,0.0,0.0,2
2,micro avg,0.4547945205479452,0.3198458574181118,0.37556561085972856,1038
2,macro avg,0.31677081088845793,0.28045769346582355,0.2878414720452937,1038
2,weighted avg,0.45864343069375374,0.3198458574181118,0.3658971810070813,1038
3,CHAR,0.4904580152671756,0.31341463414634146,0.38244047619047616,820
3,LOC,0.49146757679180886,0.6666666666666666,0.5658153241650294,216
3,ORG,0.0,0.0,0.0,2
3,micro avg,0.4739952718676123,0.38631984585741813,0.4256900212314226,1038
3,macro avg,0.32730853068632815,0.3266937669376693,0.3160852667851685,1038
3,weighted avg,0.489723091624388,0.38631984585741813,0.41986252456246326,1038
4,CHAR,0.4823529411764706,0.3,0.3699248120300752,820
4,LOC,0.48412698412698413,0.5648148148148148,0.5213675213675214,216
4,ORG,0.0,0.0,0.0,2
4,micro avg,0.45942571785268416,0.35452793834296725,0.40021750951604135,1038
4,macro avg,0.3221599751011516,0.2882716049382716,0.29709744446586556,1038
4,weighted avg,0.48179271708683474,0.35452793834296725,0.4007261372640138,1038
5,CHAR,0.5176470588235295,0.4292682926829268,0.4693333333333333,820
5,LOC,0.5490909090909091,0.6990740740740741,0.6150712830957229,216
5,ORG,0.0,0.0,0.0,2
5,micro avg,0.501996007984032,0.48458574181117536,0.49313725490196075,1038
5,macro avg,0.35557932263814623,0.37611412225233365,0.36146820547635206,1038
5,weighted avg,0.5231928946039793,0.48458574181117536,0.498756002391146,1038
6,CHAR,0.5271317829457365,0.24878048780487805,0.3380281690140845,820
6,LOC,0.5024630541871922,0.4722222222222222,0.48687350835322196,216
6,ORG,0.0,0.0,0.0,2
6,micro avg,0.4975609756097561,0.2947976878612717,0.3702359346642468,1038
6,macro avg,0.34319827904430955,0.24033423667570009,0.27496722578910215,1038
6,weighted avg,0.520982737687801,0.2947976878612717,0.3683504589555349,1038
7,CHAR,0.4916267942583732,0.501219512195122,0.4963768115942029,820
7,LOC,0.5185185185185185,0.6481481481481481,0.5761316872427984,216
7,ORG,0.0,0.0,0.0,2
7,micro avg,0.49372759856630827,0.5308285163776493,0.5116063138347261,1038
7,macro avg,0.33671510425896384,0.3831225534477567,0.3575028329456671,1038
7,weighted avg,0.4962755022079634,0.5308285163776493,0.5120167918609738,1038
8,CHAR,0.4722753346080306,0.30121951219512194,0.36783320923306023,820
8,LOC,0.583732057416268,0.5648148148148148,0.5741176470588235,216
8,ORG,0.0,0.0,0.0,2
8,micro avg,0.49265687583444595,0.3554913294797688,0.41298265249020705,1038
8,macro avg,0.3520024640080995,0.2886781090033122,0.31398361876396125,1038
8,weighted avg,0.4945586693453748,0.3554913294797688,0.4100507161231361,1038
9,CHAR,0.48135593220338985,0.17317073170731706,0.2547085201793722,820
9,LOC,0.5504201680672269,0.6064814814814815,0.5770925110132158,216
9,ORG,0.0,0.0,0.0,2
9,micro avg,0.5,0.2630057803468208,0.34469696969696967,1038
9,macro avg,0.34392536675687224,0.2598840710629329,0.2772670103975293,1038
9,weighted avg,0.4948002126293841,0.2630057803468208,0.3213034382716183,1038
10,CHAR,0.5015974440894568,0.3829268292682927,0.4343015214384509,820
10,LOC,0.5714285714285714,0.6111111111111112,0.5906040268456376,216
10,ORG,0.0,0.0,0.0,2
10,micro avg,0.5028184892897407,0.4296724470134875,0.46337662337662344,1038
10,macro avg,0.3576753385060094,0.33134598012646793,0.34163518276136284,1038
10,weighted avg,0.5151623078823949,0.4296724470134875,0.4659900938132827,1038
