subset_size,train_loss,eval_loss,accuracy,f1_score,report
80,0.0528781656175851,0.1223669100138876,0.9623732057416268,0.372599896211728,"{'CHAR': {'precision': 0.6563380281690141, 'recall': 0.2841463414634146, 'f1-score': 0.396595744680851, 'support': 820}, 'LOC': {'precision': 0.23595505617977527, 'recall': 0.5833333333333334, 'f1-score': 0.33599999999999997, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.40382452193475815, 'recall': 0.34585741811175336, 'f1-score': 0.37259989621172807, 'support': 1038}, 'macro avg': {'precision': 0.29743102811626315, 'recall': 0.289159891598916, 'f1-score': 0.24419858156028365, 'support': 1038}, 'weighted avg': {'precision': 0.5675948701670742, 'recall': 0.34585741811175336, 'f1-score': 0.38322207190587454, 'support': 1038}}"
100,0.0245693800970911,0.119955163449049,0.9643253588516748,0.4457593688362919,"{'CHAR': {'precision': 0.5392022008253095, 'recall': 0.47804878048780486, 'f1-score': 0.5067873303167421, 'support': 820}, 'LOC': {'precision': 0.22813688212927757, 'recall': 0.2777777777777778, 'f1-score': 0.25052192066805845, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.45656565656565656, 'recall': 0.43545279383429675, 'f1-score': 0.44575936883629197, 'support': 1038}, 'macro avg': {'precision': 0.25577969431819564, 'recall': 0.25194218608852753, 'f1-score': 0.2524364169949335, 'support': 1038}, 'weighted avg': {'precision': 0.473432920247281, 'recall': 0.43545279383429675, 'f1-score': 0.45248395541813985, 'support': 1038}}"
140,0.0255631369849046,0.1214512280291981,0.9660095693779904,0.4897755610972568,"{'CHAR': {'precision': 0.5621546961325967, 'recall': 0.49634146341463414, 'f1-score': 0.5272020725388601, 'support': 820}, 'LOC': {'precision': 0.345679012345679, 'recall': 0.3888888888888889, 'f1-score': 0.36601307189542487, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5077559462254395, 'recall': 0.4730250481695568, 'f1-score': 0.48977556109725684, 'support': 1038}, 'macro avg': {'precision': 0.30261123615942526, 'recall': 0.2950767841011743, 'f1-score': 0.297738381478095, 'support': 1038}, 'weighted avg': {'precision': 0.5160245833288978, 'recall': 0.4730250481695568, 'f1-score': 0.49264404914381216, 'support': 1038}}"
180,0.0203856645772854,0.1135254008074601,0.9677703349282296,0.5423572744014733,"{'CHAR': {'precision': 0.5361380798274002, 'recall': 0.6060975609756097, 'f1-score': 0.5689753863766457, 'support': 820}, 'LOC': {'precision': 0.4444444444444444, 'recall': 0.42592592592592593, 'f1-score': 0.43498817966903075, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5194003527336861, 'recall': 0.5674373795761078, 'f1-score': 0.5423572744014733, 'support': 1038}, 'macro avg': {'precision': 0.3268608414239482, 'recall': 0.3440078289671786, 'f1-score': 0.3346545220152255, 'support': 1038}, 'weighted avg': {'precision': 0.51602430198311, 'recall': 0.5674373795761078, 'f1-score': 0.5399973638124856, 'support': 1038}}"
230,0.013351573375985,0.1179784692823886,0.9680765550239234,0.5544915640674875,"{'CHAR': {'precision': 0.5338983050847458, 'recall': 0.6146341463414634, 'f1-score': 0.5714285714285715, 'support': 820}, 'LOC': {'precision': 0.4928909952606635, 'recall': 0.48148148148148145, 'f1-score': 0.48711943793911006, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5264069264069264, 'recall': 0.5857418111753372, 'f1-score': 0.5544915640674875, 'support': 1038}, 'macro avg': {'precision': 0.34226310011513644, 'recall': 0.36537187594098164, 'f1-score': 0.35284933645589384, 'support': 1038}, 'weighted avg': {'precision': 0.5243362862676251, 'recall': 0.5857418111753372, 'f1-score': 0.552783455844197, 'support': 1038}}"
300,0.0131926469504833,0.0995878237403101,0.974354066985646,0.6244725738396625,"{'CHAR': {'precision': 0.5860566448801743, 'recall': 0.6560975609756098, 'f1-score': 0.619102416570771, 'support': 820}, 'LOC': {'precision': 0.7231638418079096, 'recall': 0.5925925925925926, 'f1-score': 0.6513994910941475, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6082191780821918, 'recall': 0.6416184971098265, 'f1-score': 0.6244725738396625, 'support': 1038}, 'macro avg': {'precision': 0.43640682889602794, 'recall': 0.4162300511894008, 'f1-score': 0.4235006358883062, 'support': 1038}, 'weighted avg': {'precision': 0.6134584187208588, 'recall': 0.6416184971098265, 'f1-score': 0.6246303195225127, 'support': 1038}}"
500,0.0145107836578972,0.1040558656884564,0.9743157894736842,0.6376546037562987,"{'CHAR': {'precision': 0.5740551583248212, 'recall': 0.6853658536585366, 'f1-score': 0.6247915508615898, 'support': 820}, 'LOC': {'precision': 0.8072289156626506, 'recall': 0.6203703703703703, 'f1-score': 0.7015706806282721, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6078602620087337, 'recall': 0.6705202312138728, 'f1-score': 0.6376546037562987, 'support': 1038}, 'macro avg': {'precision': 0.4604280246624906, 'recall': 0.4352454080096357, 'f1-score': 0.442120743829954, 'support': 1038}, 'weighted avg': {'precision': 0.6214707857509498, 'recall': 0.6705202312138728, 'f1-score': 0.6395648735281411, 'support': 1038}}"
700,0.0069352880712937,0.1060772511694166,0.9755406698564594,0.6426198386331278,"{'CHAR': {'precision': 0.5997842502696872, 'recall': 0.6780487804878049, 'f1-score': 0.636519748139668, 'support': 820}, 'LOC': {'precision': 0.852112676056338, 'recall': 0.5601851851851852, 'f1-score': 0.675977653631285, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6333021515434986, 'recall': 0.6522157996146436, 'f1-score': 0.6426198386331278, 'support': 1038}, 'macro avg': {'precision': 0.4839656421086751, 'recall': 0.41274465522433007, 'f1-score': 0.437499133923651, 'support': 1038}, 'weighted avg': {'precision': 0.6511362459049255, 'recall': 0.6522157996146436, 'f1-score': 0.6435042068004676, 'support': 1038}}"
900,0.0036346982543667,0.1056471181412537,0.97711004784689,0.6634980988593155,"{'CHAR': {'precision': 0.6245989304812835, 'recall': 0.7121951219512195, 'f1-score': 0.6655270655270654, 'support': 820}, 'LOC': {'precision': 0.8702290076335878, 'recall': 0.5277777777777778, 'f1-score': 0.6570605187319885, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6547842401500938, 'recall': 0.6724470134874759, 'f1-score': 0.6634980988593155, 'support': 1038}, 'macro avg': {'precision': 0.49827597937162377, 'recall': 0.4133242999096658, 'f1-score': 0.44086252808635135, 'support': 1038}, 'weighted avg': {'precision': 0.674509237614169, 'recall': 0.6724470134874759, 'f1-score': 0.6624829150079992, 'support': 1038}}"
1100,0.0022274537606992,0.1058314746866623,0.9789473684210528,0.7142203932327389,"{'CHAR': {'precision': 0.6353305785123967, 'recall': 0.75, 'f1-score': 0.6879194630872483, 'support': 820}, 'LOC': {'precision': 0.9171270718232044, 'recall': 0.7685185185185185, 'f1-score': 0.836272040302267, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.679721496953873, 'recall': 0.7524084778420038, 'f1-score': 0.7142203932327389, 'support': 1038}, 'macro avg': {'precision': 0.5174858834452004, 'recall': 0.5061728395061729, 'f1-score': 0.5080638344631717, 'support': 1038}, 'weighted avg': {'precision': 0.6927461675279166, 'recall': 0.7524084778420038, 'f1-score': 0.7174650485903981, 'support': 1038}}"
1300,0.0021794517898732,0.1264000966317124,0.9783732057416268,0.6951512241958713,"{'CHAR': {'precision': 0.6491841491841492, 'recall': 0.6792682926829269, 'f1-score': 0.66388557806913, 'support': 820}, 'LOC': {'precision': 0.893048128342246, 'recall': 0.7731481481481481, 'f1-score': 0.8287841191066997, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.692822966507177, 'recall': 0.697495183044316, 'f1-score': 0.6951512241958713, 'support': 1038}, 'macro avg': {'precision': 0.5140774258421318, 'recall': 0.4841388136103584, 'f1-score': 0.49755656572527657, 'support': 1038}, 'weighted avg': {'precision': 0.6986795742321075, 'recall': 0.697495183044316, 'f1-score': 0.6969205623735393, 'support': 1038}}"
