epoch,label,precision,recall,f1-score,support
1,CHAR,0.7551487414187643,0.8048780487804879,0.7792207792207793,820
1,LOC,0.9082969432314411,0.9629629629629629,0.9348314606741573,216
1,ORG,0.0,0.0,0.0,2
1,micro avg,0.7869446962828649,0.8362235067437379,0.8108360579168612,1038
1,macro avg,0.5544818948834017,0.5892803372478169,0.5713507466316455,1038
1,weighted avg,0.7855627241824451,0.8362235067437379,0.8101008039177813,1038
2,CHAR,0.8025258323765786,0.8524390243902439,0.826729745712596,820
2,LOC,0.9288888888888889,0.9675925925925926,0.9478458049886621,216
2,ORG,0.0,0.0,0.0,2
2,micro avg,0.8284671532846716,0.8747591522157996,0.850984067478913,1038
2,macro avg,0.5771382404218225,0.6066772056609455,0.591525183567086,1038
2,weighted avg,0.8272747423398791,0.8747591522157996,0.8503401593081692,1038
3,CHAR,0.8257839721254355,0.8670731707317073,0.8459250446162998,820
3,LOC,0.9375,0.9722222222222222,0.9545454545454546,216
3,ORG,0.0,0.0,0.0,2
3,micro avg,0.8488479262672811,0.8872832369942196,0.8676401318888366,1038
3,macro avg,0.5877613240418119,0.6130984643179765,0.6001568330539181,1038
3,weighted avg,0.847440132122213,0.8872832369942196,0.8668982223190597,1038
4,CHAR,0.8379022646007152,0.8573170731707317,0.8474984930681133,820
4,LOC,0.920704845814978,0.9675925925925926,0.9435665914221218,216
4,ORG,0.0,0.0,0.0,2
4,micro avg,0.8555347091932458,0.8786127167630058,0.8669201520912547,1038
4,macro avg,0.5862023701385644,0.6083032219211081,0.5970216948300784,1038
4,weighted avg,0.8535184043050306,0.8786127167630058,0.8658565973632286,1038
5,CHAR,0.8609431680773881,0.8682926829268293,0.864602307225258,820
5,LOC,0.9285714285714286,0.9629629629629629,0.9454545454545454,216
5,ORG,1.0,0.5,0.6666666666666666,2
5,micro avg,0.8754752851711026,0.8872832369942196,0.8813397129186602,1038
5,macro avg,0.9298381988829388,0.7770852152965974,0.8255745064488234,1038
5,weighted avg,0.8752840331357291,0.8872832369942196,0.8810456715570586,1038
6,CHAR,0.8621951219512195,0.8621951219512195,0.8621951219512194,820
6,LOC,0.9288888888888889,0.9675925925925926,0.9478458049886621,216
6,ORG,0.6666666666666666,1.0,0.8,2
6,micro avg,0.8759541984732825,0.884393063583815,0.8801534036433365,1038
6,macro avg,0.8192502258355917,0.943262571514604,0.8700136423132939,1038
6,weighted avg,0.8756968529222865,0.884393063583815,0.8798985490149815,1038
7,CHAR,0.8616891064871481,0.8585365853658536,0.8601099572388515,820
7,LOC,0.9585253456221198,0.9629629629629629,0.9607390300230947,216
7,ORG,1.0,1.0,1.0,2
7,micro avg,0.8822393822393823,0.8805394990366089,0.8813886210221793,1038
7,macro avg,0.9400714840364226,0.9404998494429387,0.9402829957539821,1038
7,weighted avg,0.8821064951578415,0.8805394990366089,0.8813196487676751,1038
8,CHAR,0.8559423769507803,0.8695121951219512,0.8626739261947974,820
8,LOC,0.9372197309417041,0.9675925925925926,0.9521640091116174,216
8,ORG,1.0,1.0,1.0,2
8,micro avg,0.8733459357277883,0.8901734104046243,0.8816793893129771,1038
8,macro avg,0.9310540359641615,0.9457015959048479,0.938279311768805,1038
8,weighted avg,0.873133151236077,0.8901734104046243,0.8815607374256679,1038
9,CHAR,0.8553921568627451,0.8512195121951219,0.8533007334963324,820
9,LOC,0.9375,0.9722222222222222,0.9545454545454546,216
9,ORG,1.0,0.5,0.6666666666666666,2
9,micro avg,0.8731988472622478,0.8757225433526011,0.8744588744588744,1038
9,macro avg,0.9309640522875817,0.7744805781391148,0.8248376182361512,1038
9,weighted avg,0.8727568098530356,0.8757225433526011,0.8740093959365549,1038
10,CHAR,0.8500604594921403,0.8573170731707317,0.8536733454766241,820
10,LOC,0.9545454545454546,0.9722222222222222,0.963302752293578,216
10,ORG,1.0,1.0,1.0,2
10,micro avg,0.8722592945662536,0.8815028901734104,0.8768567321514136,1038
10,macro avg,0.9348686380125316,0.9431797651309847,0.9389920325900674,1038
10,weighted avg,0.8720919026641362,0.8815028901734104,0.8767683408345325,1038
