label,precision,recall,f1-score,support
CHAR,0.7712820512820513,0.4867313915857605,0.5968253968253968,1545
LOC,0.6738544474393531,0.46904315196998125,0.5530973451327434,533
ORG,1.0,0.0030864197530864196,0.006153846153846154,324
micro avg,0.7446176688938382,0.41756869275603664,0.5350760202720726,2402
macro avg,0.8150454995738015,0.31962032110294275,0.3853588627039955,2402
weighted avg,0.7805142338534323,0.41756869275603664,0.5074479472126713,2402
