label,precision,recall,f1-score,support
CHAR,0.7103574702108157,0.6107171000788022,0.6567796610169491,1269
LOC,0.6695906432748538,0.8592870544090057,0.7526705012325391,533
ORG,0.5729442970822282,0.6666666666666666,0.616262482168331,324
micro avg,0.6733271375464684,0.6815616180620885,0.6774193548387097,2126
macro avg,0.6509641368559659,0.7122236070514915,0.6752375481392731,2126
weighted avg,0.6791953879669164,0.6815616180620885,0.6746452545672582,2126
