label,precision,recall,f1-score,support
CHAR,0.8611793611793612,0.8548780487804878,0.8580171358629132,820
LOC,0.9130434782608695,0.9722222222222222,0.9417040358744394,216
ORG,1.0,0.5,0.6666666666666666,2
micro avg,0.8727272727272727,0.8786127167630058,0.8756601056168988,1038
macro avg,0.9247409464800769,0.7757000903342366,0.8221292794680064,1038
weighted avg,0.8722393713597533,0.8786127167630058,0.8750630602021205,1038
