label,precision,recall,f1-score,support
CHAR,0.5512820512820513,0.4195121951219512,0.47645429362880887,820
LOC,0.546875,0.8101851851851852,0.6529850746268657,216
ORG,0.0,0.0,0.0,2
micro avg,0.5279755849440488,0.5,0.5136071251855517,1038
macro avg,0.36605235042735046,0.4098991267690455,0.37647978941855814,1038
weighted avg,0.549302776542661,0.5,0.5122709989354781,1038
